A1,BLK 215 ANG MO KIO STREET 22,1.366714399,103.8417104,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A10,BLK 201/202 ANG MO KIO STREET 22,1.368632982,103.8445208,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A100,BLK 650 ANG MO KIO STREET 61,1.377987473,103.8425999,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,1.367035534,103.8381797,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A12,BLK 229/230 ANG MO KIO ST 22,1.368509827,103.8386738,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A13,BLK 232/233 ANG MO KIO ST 22,1.368000222,103.8368086,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A15,BLK 226E-226H ANG MO KIO ST 22,1.366967611,103.8404154,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A2,BLK 206/207 ANG MO KIO STREET 22,1.366237056,103.8430436,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A20,BLK 304/307/319 ANG MO KIO ST 31,1.364943381,103.8484528,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A21,BLK 325/326/301 ANG MO KIO STREET 31,1.368127559,103.8463095,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A23,BLK 347A ANG MO KIO AVENUE 3,1.367332301,103.8488554,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
