Goodwood Park Hotel,1.308453,103.83455
Grand Hyatt Singapore,1.30635,103.833237
Grand Park Orchard,1.303517,103.836278
Grange Road Off-Street,1.299657,103.830656
Hilton Hotel,1.305891,103.82942
Holiday Inn Express Singapore,1.289123,103.842014
Holiday Inn Singapore Orchard City Centre,1.302348,103.841005
International Building,1.306035,103.831018
ION Orchard,1.303994,103.83197
Liat Towers,1.3052,103.830875
Lucky Plaza,1.304409,103.834001
Mandarin Gallery,1.302012,103.836271
Meritus Mandarin Singapore,1.302005,103.835934
Ngee Ann City,1.302557,103.834568
OG Orchard Point,1.301326,103.840574
Orchard Building,1.301412,103.837245
Orchard Central,1.300778,103.839659
Orchard Hotel Shopping Arcade,1.307722,103.828437
Orchard Parade Hotel,1.306701,103.827795
Orchard Plaza,1.3018,103.837797
Orchard Towers,1.306962,103.82912
orchardgateway,1.300958,103.838911
Pacific Plaza,1.306586,103.832107
Palais Renaissance,1.306672,103.829552
Pan Pacific Orchard,1.307374,103.829781
Paragon Shopping Centre,1.303643,103.835733
Park Mall,1.2980324,103.84
Penang Road Off-Street,1.298794,103.843861
Plaza Singapura,1.300524,103.84503
Regent Hotel,1.304661,103.824931
Royal Plaza On Scotts,1.306711,103.832315
Scape,1.30104,103.835752
Shangri-la Hotel,1.310805,103.826798
Shaw Centre,1.306199,103.831858
Shaw House,1.305512,103.831755
Sheraton Towers Singapore,1.311786,103.836522
Singapore Marriott Hotel,1.305104,103.832837
Singapore Shopping Centre,1.2976616,103.843389
Starhub Centre,1.2976845,103.8352166
Tanglin Mall,1.3057155,103.8210497
Tanglin Shopping Centre,1.306349,103.826984
Tangs,1.305066,103.833087
The Cathay,1.299378,103.847803
The Centrepoint,1.302155,103.839758
The Heeren,1.302512,103.837112
Traders Hotel,1.304339,103.824071
TripleOne Somerset,1.300169,103.837295
Wheelock Place,1.304542,103.830298
Winsland House,1.299587,103.840244
Wisma Atria,1.303857,103.833056
York Hotel,1.307305,103.835584
Changi Chapel and Museum (The Changi Museum),1.36212,103.974034
Chinatown Heritage Centre,1.283508,103.844352
Chinese Garden,1.338987,103.729753
Haw Par Villa,1.284202,103.782635
Hay Dairies Goat Farm,1.431605,103.7099
Jurong Bird Park,1.318707,103.706442
Labrador Secret Tunnel ( Labrador Park ),1.267487,103.801682
Mandai Orchid Garden,1.407112,103.784536
Memories at Old Ford Factory,1.352549,103.769295
Mount Faber (Jewel Box),1.273786,103.817496
national Museum of Singapore,1.296615,103.848509
Reflections at Bukit Chandu,1.2796745,103.7920434
Resorts World Sentosa - Universal Studios Singapore (RWS B1 car park),1.254042,103.823808
Royal Selangor Pewter Museum ( Park at Clarke Quay),1.3021334,103.7481053
Sentosa (Beach and Imbiah car park),1.253381,103.817461
Sentosa (Tanjong & Palawan car park),1.246165,103.825433
Singapore Art Museum,1.297307,103.851062
Singapore Botanic Gardens,1.31384,103.815914
Singapore City Gallery (URA centre),1.279499,103.845354
Singapore Flyer,1.289299,103.863137
Singapore Mint Coin Gallery,1.3047623,103.6521868
Singapore Philatelic Museum,1.292845,103.848702
Singapore Science centre/Singapore Discovery Centre / Snow City,1.333233,103.736225
